﻿* MH (Multifield Hourly Data Format)
* 以 '*' 字元開頭的文字為格式說明
* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組
********************************************************************************
* 格式說明:
* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位
* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元
* 時間為當地時間(LocalTime)
* yyyy:西元年
* mm:月
* dd:日
* hh:時
********************************************************************************
* 欄位標題說明:
C0X320, 2025060821,     28.1
C0X320, 2025060822,     27.5
C0X320, 2025060823,     27.0
C0X320, 2025060824,     26.6
C0X320, 2025060901,     26.2
C0X320, 2025060902,     25.9
C0X320, 2025060903,     26.7
C0X320, 2025060904,     25.6
C0X320, 2025060905,     25.1
C0X320, 2025060906,     26.0
C0X320, 2025060907,     30.8
C0X320, 2025060908,     31.4
C0X320, 2025060909,     32.3
C0X320, 2025060910,     32.7
C0X320, 2025060911,     33.4
C0X320, 2025060912,     33.1
C0X320, 2025060913,     33.5
C0X320, 2025060914,     33.2
C0X320, 2025060915,     32.3
C0X320, 2025060916,     33.9
C0X320, 2025060917,     32.4
C0X320, 2025060918,     29.0
C0X320, 2025060919,     29.4
C0X320, 2025060920,     29.2
C0X320, 2025060921,     28.2
C0X320, 2025060922,     27.3
C0X320, 2025060923,     26.8
C0X320, 2025060924,     26.2
C0X320, 2025061001,     25.9
C0X320, 2025061002,     25.7
C0X320, 2025061003,     25.3
C0X320, 2025061004,     25.6
C0X320, 2025061005,     24.7
C0X320, 2025061006,     25.4
C0X320, 2025061007,     28.6
C0X320, 2025061008,     31.3
C0X320, 2025061009,     32.9
C0X320, 2025061010,     33.9
C0X320, 2025061011,     34.1
C0X320, 2025061012,     35.5
C0X320, 2025061013,     36.7
C0X320, 2025061014,     35.7
C0X320, 2025061015,     35.1
C0X320, 2025061016,     34.1
C0X320, 2025061017,     34.6
C0X320, 2025061018,     33.6
C0X320, 2025061019,     32.0
C0X320, 2025061020,     29.4
C0X320, 2025061021,     29.7
C0X320, 2025061022,     28.4
C0X320, 2025061023,     27.3
C0X320, 2025061024,     27.5
C0X320, 2025061101,     27.3
C0X320, 2025061102,     26.9
C0X320, 2025061103,     26.8
C0X320, 2025061104,     26.2
C0X320, 2025061105,     26.5
C0X320, 2025061106,     27.2
C0X320, 2025061107,     29.4
C0X320, 2025061108,     None
C0X320, 2025061109,     32.4
C0X320, 2025061110,     33.9
C0X320, 2025061111,     34.7
C0X320, 2025061112,     35.9
C0X320, 2025061113,     36.6
C0X320, 2025061114,     35.7
C0X320, 2025061115,     35.4
C0X320, 2025061116,     25.5
C0X320, 2025061117,     25.3
C0X320, 2025061118,     26.4
C0X320, 2025061119,     26.3
C0X320, 2025061120,     26.5
C0X320, 2025061121,     26.4
C0X320, 2025061122,     25.5
C0X320, 2025061123,     25.2
C0X320, 2025061124,     25.8
C0X320, 2025061201,     25.7
C0X320, 2025061202,     25.3
C0X320, 2025061203,     25.3
C0X320, 2025061204,     25.7
C0X320, 2025061205,     25.7
C0X320, 2025061206,     26.1
C0X320, 2025061207,     28.2
C0X320, 2025061208,     28.6
C0X320, 2025061209,     30.2
C0X320, 2025061210,     30.1
C0X320, 2025061211,     29.2
